time,Ax,Ay,Az,A_mag,label_name
2025-12-02T09:09:25.222838,0.5084090828895569,-0.7386336922645569,-0.23885932564735413,0.9279619088958777,squat
2025-12-02T09:09:25.734759,0.37069979310035706,-0.5058506727218628,0.13549545407295227,0.6416091160295684,squat
2025-12-02T09:09:26.246611,0.3127552270889282,-0.9516361355781555,0.594864010810852,1.1650280502921577,squat
2025-12-02T09:09:26.758475,0.3481523394584656,-1.04233717918396,0.6969729661941528,1.3013255404336967,squat
2025-12-02T09:09:27.270333,0.3263322114944458,-0.4274522662162781,0.04020997881889343,0.5392819249232292,squat
2025-12-02T09:09:27.782195,0.4264623820781708,-0.9569430947303772,0.028268834576010704,1.048050274027074,squat
2025-12-02T09:09:28.294033,0.38330700993537903,-0.8281285166740417,0.4484022259712219,1.0167525068817367,squat
2025-12-02T09:09:28.805866,0.3200286030769348,-0.7876026034355164,0.4827634394168854,0.9776485596385842,squat
2025-12-02T09:09:29.317712,0.35663795471191406,-0.913522481918335,0.2193271666765213,1.0048971896436383,squat
2025-12-02T09:09:29.842399,0.4162796437740326,-0.9265487194061279,0.042646948248147964,1.0166612186213515,squat
2025-12-02T09:09:30.367147,0.4017328917980194,-0.5538546442985535,0.17497433722019196,0.7062296383253267,squat
2025-12-02T09:09:30.891968,0.2470523864030838,-0.9398161172866821,0.5882841944694519,1.1359434446317498,squat
2025-12-02T09:09:31.416797,0.29529914259910583,-0.9967454671859741,0.5217549800872803,1.1631557802897388,squat
2025-12-02T09:09:31.941572,0.4356752932071686,-0.7974928021430969,-0.11930914968252182,0.9165382718573007,squat
2025-12-02T09:09:32.466324,0.6155701875686646,-0.7171646356582642,0.02729404717683792,0.9455140059636679,squat
2025-12-02T09:09:32.991040,0.4271897077560425,-0.9634562730789185,0.39990654587745667,1.1272374558997988,squat
2025-12-02T09:09:33.515817,0.2443854808807373,-0.7820543646812439,0.4864189028739929,0.9528570940363682,squat
2025-12-02T09:09:34.040524,0.30936098098754883,-0.9475352764129639,0.5003096461296082,1.1152744319739891,squat
2025-12-02T09:09:34.565274,0.3333631455898285,-0.3729352355003357,0.12696605920791626,0.5160736932900418,squat
2025-12-02T09:09:35.090010,0.35372859239578247,-0.8920533657073975,0.012428538873791695,0.9597070349469857,squat
2025-12-02T09:09:35.614824,0.5624744892120361,-0.8503212928771973,-0.014220686629414558,1.019620556904823,squat
2025-12-02T09:09:36.139706,0.4162796437740326,-0.9014611840248108,-0.06122126430273056,0.994821115239757,squat
2025-12-02T09:09:36.664391,0.4136127531528473,-0.9485002160072327,-0.07737017422914505,1.0376484535702317,squat
2025-12-02T09:09:37.189075,0.46452638506889343,-0.5046445727348328,0.1598651260137558,0.704278187743515,squat
2025-12-02T09:09:37.713742,0.4245227873325348,-1.1412397623062134,0.8241827487945557,1.4703485965728933,squat
2025-12-02T09:09:38.238566,0.4104609191417694,-0.9178645610809326,0.5982757806777954,1.1699946274990431,squat
2025-12-02T09:09:38.763255,0.608296811580658,-0.5562669038772583,0.05653766915202141,0.8262290162912029,squat
2025-12-02T09:09:39.287992,0.4756788909435272,-0.8358477354049683,-0.09617041051387787,0.9665198352487577,squat
2025-12-02T09:09:39.812689,0.3323933780193329,-0.7222303152084351,0.04532761126756668,0.7963394868398792,squat
2025-12-02T09:09:40.337405,0.7190945744514465,-0.7120988368988037,0.9348210692405701,1.3777054082837226,squat
